Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_en_largo_completados_E1,Libres_directos_sacados_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Balones_recuperados_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Balones_blocados_por arriba_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Faltas_cometidas_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_en_largo_completados_E2,Libres_directos_sacados_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Balones_recuperados_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Balones_blocados_por arriba_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Faltas_cometidas_E2,media11_titular_E1,media11_titular_E2
PL-2024-25-12436906,Jornada 3,2024-08-31,Arsenal,1,Brighton,1,1,0.0,1.0,11,7,2,2,0,0.0,0.0,5.0,3,3.0,8,37,31,36,74.1,200,270,21,7,28.6,2,7,12,17,11,6,20,1,0.0,0,3.0,5.0,1.0,5.0,12,1.0,0.0,22,4,10,8,0,0.0,7.0,3.0,7,1.0,10,48,33,64,85.8,404,471,30,12,26.9,7,26,5,18,7,11,11,1,0.0,0,6.0,0.0,0.0,2.0,7,6.98,7.12
PL-2024-25-12436908,Jornada 3,2024-08-31,Brentford,1,Southampton,3,1,3.0,0.0,20,7,7,6,1,2.0,3.0,6.0,2,1.0,6,43,42,37,86.6,310,358,23,7,15.4,2,13,11,17,13,4,19,1,0.0,0,5.0,,,2.0,10,1.0,0.0,18,6,7,5,1,2.0,7.0,2.0,8,2.0,7,57,31,63,88.2,548,621,16,10,20.0,4,20,9,15,10,5,17,3,0.0,0,4.0,,,1.0,7,7.52,6.76
PL-2024-25-12436912,Jornada 3,2024-08-31,Everton,1,Bournemouth,2,3,2.0,0.0,18,8,8,2,1,2.0,3.0,5.0,8,2.0,10,70,37,47,73.6,257,349,37,11,33.3,7,21,12,17,11,6,21,3,0.0,0,4.0,,1.0,2.0,6,3.0,0.0,17,7,5,5,0,2.0,3.0,5.0,4,2.0,5,53,28,53,76.5,300,392,21,6,45.8,11,24,7,26,10,16,23,2,0.0,0,6.0,,0.0,1.0,11,7.21,6.81
PL-2024-25-12436915,Jornada 3,2024-08-31,Ipswich,1,Fulham,1,1,0.0,1.0,11,4,3,4,0,0.0,4.0,1.0,8,4.0,10,50,13,49,86.0,345,401,19,15,31.2,5,16,4,13,9,4,30,1,0.0,0,3.0,0.0,1.0,2.0,15,1.0,0.0,9,4,2,3,0,0.0,0.0,2.0,6,0.0,14,40,19,51,85.9,359,418,21,15,19.2,5,26,6,11,7,4,11,1,0.0,0,3.0,1.0,0.0,3.0,15,6.99,6.95
PL-2024-25-12436918,Jornada 3,2024-08-31,Leicester,1,Aston Villa,1,2,1.0,0.0,9,3,5,1,0,1.0,5.0,1.0,1,3.0,6,60,16,58,89.1,457,513,18,21,22.2,4,18,11,22,11,11,18,2,0.0,0,3.0,0.0,1.0,4.0,13,2.0,0.0,10,5,3,2,0,1.0,1.0,4.0,4,1.0,13,33,22,42,83.0,318,383,22,13,30.0,3,10,7,17,10,7,25,1,0.0,0,2.0,2.0,0.0,5.0,21,6.89,6.81
PL-2024-25-12436926,Jornada 3,2024-08-31,Nottm Forest,1,Wolves,1,1,1.0,0.0,16,5,5,6,0,1.0,2.0,1.0,7,4.0,8,50,37,52,79.8,293,367,26,17,21.7,5,23,10,17,12,5,13,1,0.0,0,1.0,0.0,1.0,3.0,15,0.0,1.0,11,3,6,2,0,0.0,6.0,2.0,3,0.0,8,48,13,48,77.7,279,359,22,13,14.3,1,7,10,23,14,9,25,1,0.0,0,4.0,1.0,0.0,4.0,18,7.05,6.98
PL-2024-25-12436927,Jornada 3,2024-08-31,West Ham,1,Man City,1,3,0.0,0.0,10,2,5,3,2,1.0,2.0,1.0,3,0.0,10,42,24,32,83.5,284,340,19,3,28.6,4,14,6,11,6,5,20,3,0.0,0,5.0,1.0,1.0,3.0,10,2.0,1.0,23,8,10,5,1,0.0,2.0,5.0,11,1.0,12,73,58,68,92.3,670,726,34,10,36.4,8,22,7,15,12,3,18,1,0.0,0,2.0,0.0,1.0,2.0,3,6.59,7.77
PL-2024-25-12436910,Jornada 3,2024-09-01,Chelsea,1,Crystal Palace,1,1,1.0,0.0,13,7,5,1,1,2.0,3.0,5.0,4,0.0,11,76,20,63,90.2,532,590,26,13,15.8,3,19,8,13,7,6,17,1,0.0,0,2.0,1.0,0.0,4.0,9,0.0,1.0,9,3,1,5,0,2.0,2.0,0.0,4,1.0,6,41,22,37,78.9,276,350,19,9,33.3,3,9,6,19,11,8,28,1,0.0,0,6.0,1.0,1.0,2.0,13,7.06,6.9
PL-2024-25-12436923,Jornada 3,2024-09-01,Newcastle,1,Tottenham,2,1,2.0,0.0,9,3,3,3,1,0.0,2.0,2.0,7,2.0,8,37,14,34,70.1,183,261,12,13,41.7,5,12,14,17,8,9,31,1,0.0,0,6.0,1.0,0.0,4.0,16,0.0,0.0,20,6,6,8,1,4.0,7.0,2.0,12,4.0,10,61,50,66,84.2,421,500,7,16,14.8,4,27,7,22,16,6,14,2,0.0,0,1.0,1.0,2.0,4.0,13,7.02,7.02
PL-2024-25-12436920,Jornada 3,2024-09-01,Man United,1,Liverpool,0,3,0.0,0.0,8,3,5,0,0,1.0,2.0,3.0,5,0.0,8,44,31,53,83.0,421,507,15,7,31.6,6,19,7,32,20,12,10,3,0.0,0,0.0,0.0,0.0,4.0,7,3.0,0.0,11,3,7,1,0,0.0,1.0,6.0,2,2.0,5,40,30,47,84.3,391,464,13,7,50.0,3,6,10,24,17,7,28,0,0.0,1,3.0,1.0,1.0,1.0,7,6.27,7.35
PL-2024-25-12436949,Jornada 4,2024-09-14,Southampton,1,Man United,0,3,0.0,0.0,6,4,1,1,0,0.0,0.0,3.0,0,,4,37,18,44,87.7,421,480,13,12,14.3,1,7,11,21,14,7,16,3,0.0,0,7.0,1.0,,1.0,11,2.0,1.0,20,10,3,7,0,4.0,4.0,5.0,7,,14,53,38,56,91.0,556,611,18,11,22.2,2,9,12,22,13,9,11,0,0.0,1,3.0,0.0,,4.0,14,6.61,7.57
PL-2024-25-12436936,Jornada 4,2024-09-14,Brighton,1,Ipswich,0,0,0.0,0.0,21,6,5,10,0,2.0,9.0,3.0,9,1.0,10,70,39,69,86.0,490,570,28,16,17.2,5,29,9,19,11,8,6,0,0.0,1,1.0,1.0,0.0,4.0,14,0.0,0.0,6,1,4,1,1,1.0,2.0,1.0,2,3.0,8,34,8,31,70.5,184,261,15,14,33.3,2,6,11,25,14,11,34,0,0.0,1,6.0,3.0,3.0,3.0,16,7.1,7.17
