Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2
PL-2025-26-14025112,Jornada 3,2025-08-30,Sunderland,1,Brentford,2,1,,,12,3,6,3,0,,,,,,,,,,2.0,3,0.0,4,70,,16,54,81.1,340,419,,,23,,,,11,,,,16.7,3,18,,7,,,28,14,14,,34,1,,0,3.0,,,1.0,,1.0,,,3.0,,11,,,,,7,4,2,1,0,,,,,,,,,,2.0,4,3.0,8,44,,14,46,79.9,283,354,,,17,,,,10,,,,37.5,6,16,,4,,,9,7,2,,34,2,,0,1.0,,,0.0,,0.0,,,2.0,,12,,,6.97,6.5
PL-2025-26-14025115,Jornada 3,2025-08-30,Tottenham,1,Bournemouth,0,1,,,5,1,3,1,0,,,,,,,,,,0.0,0,2.0,10,67,,18,61,82.6,394,477,,,19,,,,13,,,,25.0,5,20,,4,,,16,8,8,,33,1,,0,5.0,,,,,1.0,,0.0,2.0,,17,,,,,20,6,9,5,1,,,,,,,,,,3.0,8,3.0,8,61,,29,39,70.3,208,296,,,19,,,,17,,,,27.8,5,18,,9,,,28,13,15,,31,0,,1,1.0,,,,,3.0,,1.0,4.0,,13,,,6.74,7.09
PL-2025-26-14025118,Jornada 3,2025-08-30,Wolves,1,Everton,2,3,,,12,4,3,5,0,,,,,,,,,,2.0,2,2.0,3,67,,22,59,80.3,421,524,,,22,,,,10,,,,50.0,8,16,,10,,,23,13,10,,19,3,,0,1.0,,,,,1.0,,1.0,0.0,,15,,,,,10,4,2,4,0,,,,,,,,,,3.0,2,1.0,8,61,,23,41,74.1,275,371,,,23,,,,15,,,,15.4,2,13,,16,,,16,11,5,,28,2,,0,2.0,,,,,1.0,,0.0,1.0,,10,,,6.45,6.82
PL-2025-26-14025100,Jornada 3,2025-08-30,Leeds,1,Newcastle,0,0,,,10,1,6,3,0,,,,,,,,,,1.0,5,1.0,7,49,,19,43,79.2,328,414,,,16,,,,15,,,,23.5,4,17,,13,,,18,14,4,,18,0,,1,2.0,,,,,1.0,,,1.0,,10,,,,,8,2,3,3,0,,,,,,,,,,0.0,5,0.0,5,65,,13,57,84.6,463,547,,,30,,,,10,,,,9.5,2,21,,8,,,10,4,6,,6,0,,1,1.0,,,,,2.0,,,1.0,,15,,,6.89,6.83
PL-2025-26-14025094,Jornada 3,2025-08-31,Brighton,1,Man City,2,1,,,12,7,2,3,0,,,,,,,,,,3.0,3,1.0,8,46,,22,36,74.6,235,315,,,14,,,,13,,,,37.5,3,8,,8,,,17,13,4,,10,1,,0,2.0,,,,,1.0,,,2.0,,16,,,,,12,3,8,1,0,,,,,,,,,,3.0,2,0.0,14,38,,24,64,87.3,493,565,,,19,,,,16,,,,20.0,1,5,,9,,,15,7,8,,15,2,,0,5.0,,,,,1.0,,,2.0,,14,,,6.67,6.97
PL-2025-26-14025109,Jornada 3,2025-08-31,Nottm Forest,1,West Ham,0,3,,,11,3,3,5,0,,,,,,,,,,1.0,9,,6,80,,29,58,86.9,470,541,,,11,,,,6,,,,11.4,4,35,,6,,,19,14,5,,16,3,,0,5.0,,,,,0.0,,1.0,,,14,,,,,12,8,4,0,0,,,,,,,,,,4.0,7,,8,33,,18,42,82.1,316,385,,,13,,,,13,,,,38.9,7,18,,6,,,16,9,7,,32,0,,1,3.0,,,,,3.0,,1.0,,,6,,,6.46,7.07
PL-2025-26-14025103,Jornada 3,2025-08-31,Liverpool,1,Arsenal,1,0,,,9,3,2,4,0,,,,,,,,,,,3,1.0,7,50,,16,53,84.6,368,435,,,27,,,,10,,,,14.3,1,7,,7,,,11,9,2,,29,0,,1,1.0,,,,,0.0,,,2.0,,7,,,,,11,1,3,7,0,,,,,,,,,,,8,0.0,3,46,,29,47,81.7,303,371,,,25,,,,7,,,,17.6,3,17,,9,,,14,6,8,,19,1,,0,2.0,,,,,1.0,,,2.0,,10,,,7.16,6.61
PL-2025-26-14025091,Jornada 3,2025-08-31,Aston Villa,1,Crystal Palace,0,3,,,13,4,8,1,0,,,,,,,,,,2.0,10,0.0,7,79,,20,58,89.5,475,531,,,29,,,,14,,,,19.4,6,31,,6,,,11,5,6,,17,3,,0,1.0,,,,,1.0,,1.0,2.0,,7,,,,,6,4,1,1,0,,,,,,,,,,4.0,1,2.0,6,51,,14,42,85.0,328,386,,,17,,,,6,,,,18.2,2,11,,10,,,26,16,10,,37,0,,1,4.0,,,,,4.0,,0.0,3.0,,14,,,6.38,7.45
PL-2025-26-14025124,Jornada 4,2025-09-13,Arsenal,1,Nottm Forest,3,0,,,16,5,6,5,1,,,,,,,,,,5.0,8,2.0,11,48,,38,54,86.8,415,478,,,15,,,,11,,,,25.0,5,20,,7,,,13,11,2,,15,0,,1,1.0,,,,,,,,1.0,,8,,,,,5,1,1,3,1,,,,,,,,,,0.0,3,0.0,5,50,,14,46,85.6,350,409,,,18,,,,8,,,,15.4,2,13,,11,,,12,8,4,,19,3,,0,2.0,,,,,,,,1.0,,11,,,7.54,6.31
PL-2025-26-14025121,Jornada 4,2025-09-13,Bournemouth,1,Brighton,2,1,,,13,5,4,4,0,,,,,,,,,,1.0,4,1.0,6,65,,28,51,78.6,309,393,,,25,,,,9,,,,21.1,4,19,,3,,,18,14,4,,35,1,,0,1.0,,,,,,,0.0,4.0,,16,,,,,6,2,2,2,0,,,,,,,,,,2.0,4,0.0,10,56,,24,49,78.3,293,374,,,24,,,,16,,,,17.6,3,17,,6,,,20,16,4,,35,2,,0,3.0,,,,,,,1.0,4.0,,10,,,6.86,6.78
PL-2025-26-14025133,Jornada 4,2025-09-13,Crystal Palace,1,Sunderland,0,0,,,14,6,4,4,0,,,,,,,,,,3.0,5,0.0,2,45,,21,56,83.5,410,491,,,27,,,,8,,,,25.0,5,20,,6,,,10,6,4,,25,0,,1,0.0,,,,,0.0,,0.0,1.0,,10,,,,,6,0,4,2,0,,,,,,,,,,0.0,3,2.0,11,60,,17,44,80.3,310,386,,,21,,,,10,,,,23.5,4,17,,10,,,13,9,4,,34,0,,1,6.0,,,,,2.0,,1.0,1.0,,8,,,6.81,7.22
PL-2025-26-14025136,Jornada 4,2025-09-13,Everton,1,Aston Villa,0,0,,,20,2,9,9,1,,,,,,,,,,3.0,10,2.0,8,53,,46,48,81.9,281,343,,,25,,,,15,,,,36.4,8,22,,5,,,23,16,7,,17,0,,1,1.0,,,,,1.0,,0.0,3.0,,17,,,,,7,1,1,5,0,,,,,,,,,,0.0,3,2.0,2,43,,8,52,81.5,313,384,,,14,,,,17,,,,30.0,3,10,,4,,,16,11,5,,19,0,,1,2.0,,,,,1.0,,1.0,3.0,,15,,,7.16,6.75
PL-2025-26-14025139,Jornada 4,2025-09-13,Fulham,1,Leeds,1,0,,,5,3,2,0,0,,,,,,,,,,2.0,3,1.0,6,76,,10,54,84.7,382,451,,,19,,,,15,,,,13.6,3,22,,6,,,24,16,8,,23,0,,1,3.0,,,,,0.0,,1.0,1.0,,20,,,,,10,3,3,4,1,,,,,,,,,,1.0,3,3.0,4,54,,21,46,80.7,313,388,,,23,,,,20,,,,7.7,1,13,,7,,,18,11,7,,30,1,,0,3.0,,,,,1.0,,1.0,2.0,,15,,,7.15,6.74
PL-2025-26-14025145,Jornada 4,2025-09-13,Newcastle,1,Wolves,1,0,,,16,4,7,5,1,,,,,,,,,,1.0,9,1.0,5,75,,28,57,80.4,361,449,,,21,,,,17,,,,32.0,8,25,,6,,,10,5,5,,20,0,,1,3.0,,,,,1.0,,0.0,1.0,,10,,,,,8,3,3,2,0,,,,,,,,,,0.0,4,0.0,8,45,,22,43,75.5,259,343,,,22,,,,10,,,,20.0,3,15,,14,,,16,8,8,,34,1,,0,3.0,,,,,0.0,,1.0,4.0,,17,,,7.32,6.69
PL-2025-26-14025148,Jornada 4,2025-09-13,West Ham,1,Tottenham,0,3,,,7,4,3,0,0,,,,,,,,,,1.0,2,0.0,6,48,,10,36,77.1,239,310,,,17,,,,7,,,,33.3,3,9,,5,,,13,9,4,,41,3,,0,2.0,,,,,,,2.0,0.0,1.0,8,,,,,14,5,4,5,0,,,,,,,,,,2.0,13,4.0,11,60,,37,64,87.1,465,534,,,23,,,,8,,,,16.1,5,31,,3,,,16,11,5,,10,0,,1,4.0,,,,,,,1.0,1.0,0.0,7,,,6.37,7.29
