fecha,equipo1,equipo2,goles1,goles2,corners1,corners2,amarillas1,amarillas2
2026-06-03,Dinamarca,RD Congo,0,0,4.0,4.0,1.0,0.0
2026-06-03,Polonia,Nigeria,2,2,5.0,2.0,2.0,2.0
2026-06-03,Países Bajos,Argelia,0,1,6.0,3.0,,
2026-06-03,Luxemburgo,Italia,0,1,4.0,7.0,1.0,1.0
2026-06-03,Corea del Sur,El Salvador,1,0,8.0,2.0,4.0,1.0
2026-06-02,Haití,Nueva Zelanda,4,0,5.0,8.0,0.0,1.0
2026-06-01,Bulgaria,Montenegro,0,1,,,,
2026-06-01,Eslovaquia,Malta,2,1,,,,
2026-06-01,Noruega,Suecia,3,1,6.0,1.0,0.0,1.0
2026-06-01,Turquía,Macedonia del Norte,4,0,13.0,1.0,0.0,1.0
2026-06-01,Austria,Túnez,1,0,2.0,4.0,2.0,1.0
2026-06-01,Colombia,Costa Rica,3,1,5.0,4.0,2.0,2.0
2026-05-31,Japón,Islandia,1,0,5.0,1.0,0.0,3.0
2026-05-31,Suiza,Jordania,4,1,6.0,4.0,,
2026-05-31,República Checa,Kosovo,2,1,,,,
2026-05-31,Cabo Verde,Serbia,3,0,,,,
2026-05-31,Polonia,Ucrania,0,2,,,,
2026-05-31,Alemania,Finlandia,4,0,10.0,3.0,,
2026-05-31,USA,Senegal,3,2,4.0,7.0,1.0,0.0
2026-05-31,Brasil,Panamá,6,2,1.0,1.0,0.0,1.0
2026-05-30,Escocia,Curazao,4,1,8.0,2.0,2.0,2.0
2026-05-30,Ecuador,Arabia Saudita,2,1,2.0,2.0,1.0,1.0
2026-05-30,Corea del Sur,Trinidad y Tobago,5,0,7.0,1.0,1.0,3.0
2026-05-30,México,Australia,1,0,5.0,3.0,1.0,1.0
2026-05-29,Andorra,Iraq,0,1,,,,
2026-05-29,Bosnia,Macedonia del Norte,0,0,2.0,1.0,0.0,1.0
2026-05-28,Egipto,Rusia,1,0,5.0,6.0,1.0,2.0
2026-05-28,Irlanda,Catar,1,0,7.0,3.0,,
2026-05-28,Egipto,Rusia,1,0,5.0,6.0,1.0,2.0
2026-05-28,Irlanda,Catar,1,0,7.0,3.0,,
2026-05-27,Jamaica,India,2,0,,,,
2026-05-27,Jamaica,India,2,0,,,,
2026-05-26,Nigeria,Zimbabue,2,0,,,,
2026-05-22,México,Ghana,2,0,9.0,3.0,1.0,1.0
2026-03-31,Jordania,Nigeria,2,2,,,,
2026-03-31,Guinea,Benín,0,1,,,,
2026-03-31,Perú,Honduras,2,2,5.0,7.0,3.0,2.0
2026-03-31,Marruecos,Paraguay,2,1,1.0,3.0,3.0,6.0
2026-03-31,Escocia,Costa de Marfil,0,1,7.0,5.0,,
2026-03-31,Argelia,Uruguay,0,0,5.0,6.0,4.0,3.0
2026-03-31,Irlanda,Macedonia del Norte,0,0,8.0,1.0,0.0,1.0
2026-03-31,Eslovaquia,Rumania,2,0,,,,
2026-03-31,Ucrania,Albania,1,0,,,,
2026-03-31,Austria,Corea del Sur,1,0,4.0,6.0,1.0,0.0
2026-03-31,Países Bajos,Ecuador,1,1,2.0,10.0,0.0,2.0
2026-03-31,Inglaterra,Japón,0,1,11.0,1.0,0.0,2.0
2026-03-31,Burkina Faso,Guinea,1,1,,,,
2026-03-31,España,Egipto,0,0,11.0,0.0,0.0,5.0
2026-03-31,USA,Portugal,0,2,2.0,8.0,1.0,1.0
2026-03-31,Argentina,Zambia,5,0,6.0,4.0,0.0,1.0
2026-03-31,Croacia,Brasil,1,3,2.0,2.0,3.0,1.0
2026-03-31,Canadá,Túnez,0,0,9.0,1.0,4.0,2.0
2026-03-31,México,Bélgica,1,1,3.0,2.0,2.0,3.0
2026-03-31,Irán,Costa Rica,5,0,,,,
2026-03-31,San Marino,Andorra,0,0,,,,
2026-03-31,Montenegro,Eslovenia,2,3,,,,
2026-03-31,Noruega,Suiza,0,0,4.0,2.0,,
2026-03-31,Serbia,Arabia Saudita,2,1,10.0,1.0,0.0,2.0
2026-03-30,Chipre,Moldavia,3,2,,,,
2026-03-30,Alemania,Ghana,2,1,9.0,4.0,1.0,3.0
2026-03-29,Lituania,Georgia,0,2,,,,
2026-03-29,Armenia,Bielorrusia,1,2,,,,
2026-03-29,Colombia,Francia,1,3,9.0,5.0,1.0,3.0
2026-03-28,Escocia,Japón,0,1,3.0,8.0,0.0,2.0
2026-03-28,Burkina Faso,Guinea,5,0,,,,
2026-03-28,USA,Bélgica,2,5,6.0,6.0,2.0,0.0
2026-03-28,Haití,Túnez,0,1,7.0,3.0,4.0,2.0
2026-03-28,México,Portugal,0,0,0.0,4.0,1.0,1.0
2026-03-28,San Marino,Islas Feroe,1,2,,,,
2026-03-28,Corea del Sur,Costa de Marfil,0,4,7.0,5.0,,
2026-03-28,Senegal,Perú,2,0,7.0,6.0,1.0,1.0
2026-03-28,Canadá,Islandia,2,2,8.0,1.0,0.0,2.0
2026-03-28,Hungría,Eslovenia,1,0,9.0,1.0,1.0,3.0
2026-03-27,Irán,Nigeria,1,2,,,,
2026-03-27,Montenegro,Andorra,2,0,,,,
2026-03-27,Sudáfrica,Panamá,1,1,5.0,1.0,1.0,2.0
2026-03-27,Austria,Ghana,5,1,5.0,3.0,1.0,2.0
2026-03-27,Jordania,Costa Rica,2,2,,,,
2026-03-27,Arabia Saudita,Egipto,0,4,4.0,1.0,2.0,0.0
2026-03-27,Grecia,Paraguay,0,1,6.0,3.0,1.0,0.0
2026-03-27,Argelia,Guatemala,7,0,8.0,4.0,,
2026-03-27,Países Bajos,Noruega,2,1,8.0,2.0,0.0,1.0
2026-03-27,Suiza,Alemania,3,4,0.0,10.0,,
2026-03-27,Inglaterra,Uruguay,1,1,7.0,0.0,1.0,2.0
2026-03-27,España,Serbia,3,0,5.0,1.0,,
2026-03-27,Marruecos,Ecuador,1,1,2.0,1.0,1.0,0.0
2026-03-26,Moldavia,Lituania,0,2,,,,
2026-03-26,Chipre,Bielorrusia,0,1,5.0,4.0,1.0,4.0
2026-03-26,Georgia,Israel,2,2,6.0,7.0,1.0,1.0
2026-03-26,Brasil,Francia,1,2,5.0,2.0,4.0,3.0
2026-03-26,Colombia,Croacia,1,2,6.0,4.0,0.0,3.0
2026-03-25,Kirguistán,Guinea Ecuatorial,0,1,,,,
2026-03-15,Bolivia,Trinidad y Tobago,3,0,,,,
2026-02-25,México,Islandia,4,0,8.0,2.0,1.0,1.0
2026-01-26,Uzbekistán,China,2,2,,,,
2026-01-25,Bolivia,México,0,1,4.0,4.0,1.0,5.0
2026-01-22,Panamá,México,0,1,1.0,9.0,1.0,2.0
2026-01-18,Bolivia,Panamá,1,1,,,,
2026-01-17,Canadá,Guatemala,1,0,12.0,5.0,2.0,2.0
2025-12-17,Angola,Mozambique,4,1,,,,
